"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Pudasjärvi Sarakylä","2021","9","21","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","22","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","23","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","24","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","25","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","26","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","27","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","28","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","29","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","30","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","1","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","2","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","3","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","4","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","5","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","6","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","7","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","8","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","9","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","10","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","11","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","12","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","13","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","14","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","15","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","16","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","17","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","18","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","19","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","20","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","21","03:00","11"
"Pudasjärvi Sarakylä","2021","10","22","03:00","12"
"Pudasjärvi Sarakylä","2021","10","23","03:00","9"
"Pudasjärvi Sarakylä","2021","10","24","03:00","9"
"Pudasjärvi Sarakylä","2021","10","25","03:00","9"
"Pudasjärvi Sarakylä","2021","10","26","03:00","11"
"Pudasjärvi Sarakylä","2021","10","27","03:00","6"
"Pudasjärvi Sarakylä","2021","10","28","03:00","5"
"Pudasjärvi Sarakylä","2021","10","29","03:00","4"
"Pudasjärvi Sarakylä","2021","10","30","03:00","-1"
"Pudasjärvi Sarakylä","2021","10","31","03:00","-1"
"Pudasjärvi Sarakylä","2021","11","1","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","2","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","3","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","4","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","5","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","6","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","7","02:00","2"
"Pudasjärvi Sarakylä","2021","11","8","02:00","2"
"Pudasjärvi Sarakylä","2021","11","9","02:00","2"
"Pudasjärvi Sarakylä","2021","11","10","02:00","7"
"Pudasjärvi Sarakylä","2021","11","11","02:00","1"
"Pudasjärvi Sarakylä","2021","11","12","02:00","0"
"Pudasjärvi Sarakylä","2021","11","13","02:00","2"
"Pudasjärvi Sarakylä","2021","11","14","02:00","3"
"Pudasjärvi Sarakylä","2021","11","15","02:00","3"
"Pudasjärvi Sarakylä","2021","11","16","02:00","1"
"Pudasjärvi Sarakylä","2021","11","17","02:00","0"
"Pudasjärvi Sarakylä","2021","11","18","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","19","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","20","02:00","-1"
"Pudasjärvi Sarakylä","2021","11","21","02:00","1"
"Pudasjärvi Sarakylä","2021","11","22","02:00","1"
"Pudasjärvi Sarakylä","2021","11","23","02:00","1"
"Pudasjärvi Sarakylä","2021","11","24","02:00","5"
"Pudasjärvi Sarakylä","2021","11","25","02:00","5"
"Pudasjärvi Sarakylä","2021","11","26","02:00","5"
"Pudasjärvi Sarakylä","2021","11","27","02:00","5"
"Pudasjärvi Sarakylä","2021","11","28","02:00","6"
"Pudasjärvi Sarakylä","2021","11","29","02:00","5"
"Pudasjärvi Sarakylä","2021","11","30","02:00","6"
"Pudasjärvi Sarakylä","2021","12","1","02:00","11"
"Pudasjärvi Sarakylä","2021","12","2","02:00","14"
"Pudasjärvi Sarakylä","2021","12","3","02:00","15"
"Pudasjärvi Sarakylä","2021","12","4","02:00","15"
"Pudasjärvi Sarakylä","2021","12","5","02:00","15"
"Pudasjärvi Sarakylä","2021","12","6","02:00","14"
"Pudasjärvi Sarakylä","2021","12","7","02:00","14"
"Pudasjärvi Sarakylä","2021","12","8","02:00","14"
"Pudasjärvi Sarakylä","2021","12","9","02:00","14"
