"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Siilinjärvi Kuopio airport","2000","5","5","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","5","6","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","5","7","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","8","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2000","5","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","10","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","11","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","5","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","5","13","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2000","5","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","15","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","5","16","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","17","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","5","18","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2000","5","19","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","20","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","21","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","22","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2000","5","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","5","24","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2000","5","25","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","5","26","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","5","27","00:00","-"
"Siilinjärvi Kuopio airport","2000","5","28","00:00","-"
"Siilinjärvi Kuopio airport","2000","5","29","00:00","-"
"Siilinjärvi Kuopio airport","2000","5","30","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","5","31","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","1","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","2","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","3","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","4","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","5","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","6","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","7","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","8","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","9","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","10","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","11","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","12","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","13","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","14","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","15","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","16","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","17","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","18","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","19","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","20","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","21","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","22","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","23","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","24","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","25","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","26","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","27","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","28","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","29","00:00","-"
"Siilinjärvi Kuopio airport","2000","6","30","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2000","7","1","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","2","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","3","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","4","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","5","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","6","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2000","7","7","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","8","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","9","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","10","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","11","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","12","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","13","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","14","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","15","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","16","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","17","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","18","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","19","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","20","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","21","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","22","00:00","-"
"Siilinjärvi Kuopio airport","2000","7","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","7","24","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2000","7","25","00:00","Cloudy (8/8)"
