"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Sotkamo Kuolaniemi","2015","5","12","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","13","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","14","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","15","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","16","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","17","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","18","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","19","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","20","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","21","00:00","Partly cloudy (4/8)"
"Sotkamo Kuolaniemi","2015","5","22","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","23","00:00","Mostly clear (2/8)"
"Sotkamo Kuolaniemi","2015","5","24","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","5","25","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","5","26","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","27","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","5","28","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","5","29","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","5","30","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","31","00:00","Partly cloudy (4/8)"
"Sotkamo Kuolaniemi","2015","6","1","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","6","2","00:00","Partly cloudy (4/8)"
"Sotkamo Kuolaniemi","2015","6","3","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","4","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","6","5","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","6","6","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","6","7","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","8","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","9","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","10","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","6","11","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","12","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","13","00:00","Partly cloudy (5/8)"
"Sotkamo Kuolaniemi","2015","6","14","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","6","15","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","16","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","17","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","6","18","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","19","00:00","Mostly clear (3/8)"
"Sotkamo Kuolaniemi","2015","6","20","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","21","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","22","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","23","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","24","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","6","25","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","26","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","27","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","6","28","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","6","29","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","6","30","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","1","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","2","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","3","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","4","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","5","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","6","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","7","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","8","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","9","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","10","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","11","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","12","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","13","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","14","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","15","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","16","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","7","17","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","18","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","19","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","20","00:00","Partly cloudy (4/8)"
"Sotkamo Kuolaniemi","2015","7","21","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","22","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","23","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","24","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","25","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","26","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","7","27","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","7","28","00:00","Clear (1/8)"
"Sotkamo Kuolaniemi","2015","7","29","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","30","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","7","31","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","8","1","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","8","2","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","8","3","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","8","4","00:00","Clear (1/8)"
"Sotkamo Kuolaniemi","2015","8","5","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","8","6","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","8","7","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","8","8","00:00","Partly cloudy (5/8)"
"Sotkamo Kuolaniemi","2015","8","9","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","8","10","00:00","Cloudy (8/8)"
