Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
7.0,42.0,0.07,-6.6,2010-01-21,Kommattivaara,66.5
8.0,41.0,0.09,-17.7,2010-01-22,Kommattivaara,66.5
0.0,42.0,0.08,-19.7,2010-01-23,Kommattivaara,66.5
7.0,44.0,0.1,-13.0,2010-01-24,Kommattivaara,66.5
7.0,45.0,0.1,-9.1,2010-01-25,Kommattivaara,66.5
7.0,46.0,0.11,-7.4,2010-01-26,Kommattivaara,66.5
8.0,45.0,0.1,-10.5,2010-01-27,Kommattivaara,66.5
7.0,48.0,0.21,-20.0,2010-01-28,Kommattivaara,66.5
7.0,48.0,0.15,-17.9,2010-01-29,Kommattivaara,66.5
8.0,47.0,0.16,-16.5,2010-01-30,Kommattivaara,66.5
7.0,48.0,0.17,-15.8,2010-01-31,Kommattivaara,66.5
7.0,48.0,0.19,-14.7,2010-02-01,Kommattivaara,66.5
7.0,48.0,0.18,-9.7,2010-02-02,Kommattivaara,66.5
8.0,51.0,0.18,-6.7,2010-02-03,Kommattivaara,66.5
7.0,56.0,0.24,-13.4,2010-02-04,Kommattivaara,66.5
9.0,59.0,0.27,-8.8,2010-02-05,Kommattivaara,66.5
8.0,60.0,0.24,-7.4,2010-02-06,Kommattivaara,66.5
1.0,60.0,0.28,-10.6,2010-02-07,Kommattivaara,66.5
8.0,58.0,0.32,-11.5,2010-02-08,Kommattivaara,66.5
7.0,59.0,0.35,-13.7,2010-02-09,Kommattivaara,66.5
7.0,59.0,0.44,-17.0,2010-02-10,Kommattivaara,66.5
7.0,59.0,0.4,-18.3,2010-02-11,Kommattivaara,66.5
7.0,60.0,0.43,-18.6,2010-02-12,Kommattivaara,66.5
8.0,60.0,0.43,-10.2,2010-02-13,Kommattivaara,66.5
0.0,62.0,0.52,-10.4,2010-02-14,Kommattivaara,66.5
7.0,64.0,0.64,-11.1,2010-02-15,Kommattivaara,66.5
1.0,63.0,0.74,-19.3,2010-02-16,Kommattivaara,66.5
0.0,62.0,0.82,-30.2,2010-02-17,Kommattivaara,66.5
8.0,61.0,0.8,-28.8,2010-02-18,Kommattivaara,66.5
0.0,61.0,0.78,-24.8,2010-02-19,Kommattivaara,66.5
3.0,60.0,0.88,-27.9,2010-02-20,Kommattivaara,66.5
0.0,60.0,1.06,-33.8,2010-02-21,Kommattivaara,66.5
7.0,61.0,0.74,-19.9,2010-02-22,Kommattivaara,66.5
7.0,62.0,1.07,-20.1,2010-02-23,Kommattivaara,66.5
8.0,61.0,0.69,-17.7,2010-02-24,Kommattivaara,66.5
7.0,62.0,1.13,-18.6,2010-02-25,Kommattivaara,66.5
1.0,63.0,1.19,-25.5,2010-02-26,Kommattivaara,66.5
7.0,64.0,0.89,-15.1,2010-02-27,Kommattivaara,66.5
8.0,69.0,1.05,-13.0,2010-02-28,Kommattivaara,66.5
7.0,68.0,0.96,-13.1,2010-03-01,Kommattivaara,66.5
7.0,69.0,0.87,-6.5,2010-03-02,Kommattivaara,66.5
9.0,83.0,1.02,-5.7,2010-03-03,Kommattivaara,66.5
7.0,76.0,1.68,-12.5,2010-03-04,Kommattivaara,66.5
1.0,76.0,1.22,-15.6,2010-03-05,Kommattivaara,66.5
0.0,75.0,1.89,-20.7,2010-03-06,Kommattivaara,66.5
7.0,75.0,1.01,-11.6,2010-03-07,Kommattivaara,66.5
7.0,74.0,1.37,-4.3,2010-03-08,Kommattivaara,66.5
7.0,73.0,2.07,-9.8,2010-03-09,Kommattivaara,66.5
0.0,72.0,2.19,-17.4,2010-03-10,Kommattivaara,66.5
0.0,72.0,1.77,-16.0,2010-03-11,Kommattivaara,66.5
0.0,72.0,2.01,-19.1,2010-03-12,Kommattivaara,66.5
3.0,72.0,2.12,-22.1,2010-03-13,Kommattivaara,66.5
8.0,72.0,1.94,-19.7,2010-03-14,Kommattivaara,66.5
7.0,73.0,2.42,-23.9,2010-03-15,Kommattivaara,66.5
3.0,73.0,2.61,-19.3,2010-03-16,Kommattivaara,66.5
0.0,73.0,2.73,-19.1,2010-03-17,Kommattivaara,66.5
0.0,73.0,2.77,-19.4,2010-03-18,Kommattivaara,66.5
0.0,73.0,2.8,-16.9,2010-03-19,Kommattivaara,66.5
7.0,77.0,1.88,-6.9,2010-03-20,Kommattivaara,66.5
7.0,78.0,3.06,-13.4,2010-03-21,Kommattivaara,66.5
0.0,78.0,2.96,-10.9,2010-03-22,Kommattivaara,66.5
7.0,74.0,2.56,-7.4,2010-03-23,Kommattivaara,66.5
7.0,72.0,3.13,-10.2,2010-03-24,Kommattivaara,66.5
7.0,72.0,3.34,-10.7,2010-03-25,Kommattivaara,66.5
8.0,74.0,2.1,-6.5,2010-03-26,Kommattivaara,66.5
8.0,74.0,2.58,-5.5,2010-03-27,Kommattivaara,66.5
7.0,76.0,2.09,-6.5,2010-03-28,Kommattivaara,66.5
8.0,101.0,2.08,-5.3,2010-03-29,Kommattivaara,66.5
9.0,104.0,2.27,-4.9,2010-03-30,Kommattivaara,66.5
