"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Kuolaniemi","2010","4","18","03:00","12"
"Sotkamo Kuolaniemi","2010","4","19","03:00","10"
"Sotkamo Kuolaniemi","2010","4","20","03:00","7"
"Sotkamo Kuolaniemi","2010","4","21","03:00","4"
"Sotkamo Kuolaniemi","2010","4","22","03:00","4"
"Sotkamo Kuolaniemi","2010","4","23","03:00","7"
"Sotkamo Kuolaniemi","2010","4","24","03:00","5"
"Sotkamo Kuolaniemi","2010","4","25","03:00","5"
"Sotkamo Kuolaniemi","2010","4","26","03:00","4"
"Sotkamo Kuolaniemi","2010","4","27","03:00","4"
"Sotkamo Kuolaniemi","2010","4","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","4","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","4","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","1","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","2","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","3","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","4","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","5","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","6","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","7","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","8","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","9","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","10","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","11","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","12","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","13","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","14","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","15","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","16","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","17","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","18","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","19","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","20","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","21","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","22","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","23","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","24","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","25","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","26","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","27","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","5","31","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","1","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","2","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","3","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","4","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","5","03:00","-1"
