"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Oulu Oulunsalo Pellonpää","2021","3","25","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","26","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","27","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","28","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","29","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","30","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","3","31","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","1","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","2","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","4","3","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","4","4","00:00","Mostly clear (2/8)"
"Oulu Oulunsalo Pellonpää","2021","4","5","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","6","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","4","7","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","8","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","9","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","10","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","4","11","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","4","12","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","13","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","14","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","4","15","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","16","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","17","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","18","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","19","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","20","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","4","21","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","4","22","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","4","23","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","24","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","25","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","26","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","4","27","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","4","28","00:00","Mostly clear (3/8)"
"Oulu Oulunsalo Pellonpää","2021","4","29","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","4","30","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","1","00:00","Clear (1/8)"
"Oulu Oulunsalo Pellonpää","2021","5","2","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","3","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","4","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","5","00:00","Mostly cloudy (6/8)"
"Oulu Oulunsalo Pellonpää","2021","5","6","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","7","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","8","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","9","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","5","10","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","11","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","12","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","13","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","5","14","00:00","Clear (1/8)"
"Oulu Oulunsalo Pellonpää","2021","5","15","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","16","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","17","00:00","Cloudiness cannot be determined (9/8)"
"Oulu Oulunsalo Pellonpää","2021","5","18","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","19","00:00","Clear (1/8)"
"Oulu Oulunsalo Pellonpää","2021","5","20","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","21","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","22","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","23","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","24","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","25","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","5","26","00:00","Clear (1/8)"
"Oulu Oulunsalo Pellonpää","2021","5","27","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","5","28","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","5","29","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","5","30","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","5","31","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","6","1","00:00","Clear (1/8)"
"Oulu Oulunsalo Pellonpää","2021","6","2","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","3","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","4","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","5","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","6","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","6","7","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","8","00:00","Mostly clear (2/8)"
"Oulu Oulunsalo Pellonpää","2021","6","9","00:00","Mostly clear (3/8)"
"Oulu Oulunsalo Pellonpää","2021","6","10","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","11","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","12","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","13","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","6","14","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","15","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","6","16","00:00","Mostly cloudy (6/8)"
"Oulu Oulunsalo Pellonpää","2021","6","17","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","18","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","6","19","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","6","20","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","6","21","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","22","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","23","00:00","Mostly cloudy (6/8)"
"Oulu Oulunsalo Pellonpää","2021","6","24","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","6","25","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","26","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","6","27","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","6","28","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","29","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","6","30","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","7","1","00:00","Mostly clear (2/8)"
"Oulu Oulunsalo Pellonpää","2021","7","2","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","3","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","4","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","5","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","6","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","7","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","8","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","7","9","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","10","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","11","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","7","12","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","7","13","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","14","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","15","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","7","16","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","7","17","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","7","18","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","19","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","7","20","00:00","Mostly cloudy (6/8)"
"Oulu Oulunsalo Pellonpää","2021","7","21","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","7","22","00:00","Partly cloudy (5/8)"
